name,red_votes_2016,blue_votes_2016,red_votes_2020,blue_votes_2020,lat,long,cases,deaths,population
Cooke,0.829,0.148,0.821,0.169,33.63979567,-97.21240912,570,9,39064
Grayson,0.749,0.218,0.745,0.242,33.62744998,-96.67753461,2752,75,126146
Red River,0.762,0.223,0.778,0.214,33.61886692,-95.04841765,202,17,12353
King,0.937,0.031,0.95,0.05,33.61643847,-100.2558057,1,0,289
Baylor,0.849,0.128,0.88,0.107,33.61640794,-99.21352901,46,3,3602
Dickens,0.831,0.141,0.863,0.132,33.61616822,-100.7788855,55,2,2224
Archer,0.887,0.092,0.897,0.093,33.61569967,-98.68754589,165,1,8793
Crosby,0.689,0.273,0.715,0.27,33.61431553,-101.3000364,117,7,5895
Lubbock,0.669,0.285,0.654,0.331,33.61008596,-101.8204789,19418,190,298042
Hockley,0.796,0.173,0.808,0.183,33.60771256,-102.3431676,754,19,23273
Knox,0.794,0.182,0.81,0.182,33.60519951,-99.7422906,114,9,3753
Cochran,0.754,0.211,0.809,0.177,33.60425307,-102.8284499,116,2,2932
Fannin,0.797,0.177,0.812,0.176,33.59564294,-96.10751083,798,20,33787
Bowie,0.723,0.256,0.708,0.28,33.44626922,-94.41834132,2040,77,93635
Delta,0.806,0.176,0.834,0.156,33.38570922,-95.66921122,36,0,5172
Jack,0.89,0.094,0.904,0.088,33.23377248,-98.17283469,155,3,8839
Wise,0.838,0.138,0.836,0.153,33.21570665,-97.65460265,965,16,63247
Titus,0.698,0.277,0.718,0.271,33.21339719,-94.96797273,1745,36,32664
Denton,0.577,0.375,0.532,0.451,33.20521901,-97.11691153,14978,177,781321
Collin,0.562,0.392,0.514,0.468,33.18820114,-96.57264368,18748,188,914075
Kent,0.831,0.136,0.89,0.102,33.18104136,-100.7780939,12,0,680
Garza,0.829,0.152,0.855,0.14,33.17969345,-101.2984114,123,8,6739
Stonewall,0.792,0.193,0.836,0.158,33.17906744,-100.2538401,21,1,1084
Haskell,0.795,0.178,0.831,0.16,33.17823584,-99.73037358,86,3,5806
Throckmorton,0.885,0.104,0.897,0.091,33.17751417,-99.21226795,19,2,1541
Young,0.86,0.114,0.863,0.126,33.17659707,-98.68790885,620,11,18166
Lynn,0.774,0.202,0.808,0.187,33.17657705,-101.8162849,198,6,5785
Franklin,0.823,0.153,0.831,0.161,33.17653242,-95.21917243,223,7,10639
Terry,0.735,0.24,0.779,0.21,33.17402785,-102.3354521,626,10,12755
Yoakum,0.782,0.185,0.825,0.159,33.17320212,-102.8276433,338,7,8481
Hopkins,0.794,0.186,0.798,0.191,33.14875072,-95.56351139,693,36,35929
Hunt,0.765,0.202,0.756,0.231,33.12351514,-96.08551032,2075,46,90322
Morris,0.694,0.287,0.692,0.3,33.11304005,-94.73255695,236,5,12530
Cass,0.791,0.194,0.792,0.2,33.07499881,-94.34646905,562,25,30118
Camp,0.705,0.277,0.717,0.275,32.97195142,-94.97790104,407,13,12670
Rockwall,0.718,0.244,0.672,0.314,32.89779518,-96.40771592,1988,33,90414
Rains,0.846,0.134,0.852,0.139,32.87109387,-95.79232691,97,5,11246
Marion,0.706,0.275,0.714,0.275,32.79868409,-94.3566123,173,14,10140
Wood,0.841,0.141,0.837,0.154,32.78722382,-95.38236368,664,40,43315
Parker,0.823,0.148,0.816,0.17,32.77757172,-97.80500621,2528,52,125963
Tarrant,0.522,0.435,0.491,0.493,32.77143818,-97.29101614,68233,836,1983675
Dallas,0.349,0.611,0.333,0.649,32.76670599,-96.7779605,97398,1268,2552213
Palo Pinto,0.808,0.167,0.815,0.174,32.75310985,-98.31319001,745,21,28109
Scurry,0.837,0.139,0.849,0.139,32.74613808,-100.9162664,1140,16,17346
Borden,0.904,0.085,0.959,0.039,32.74363984,-101.4316509,2,0,602
Fisher,0.735,0.234,0.793,0.193,32.74281316,-100.4019302,117,4,3875
Dawson,0.74,0.234,0.779,0.213,32.74255572,-101.9477242,897,19,13095
Gaines,0.848,0.13,0.893,0.096,32.74055318,-102.6353295,581,12,19889
Jones,0.812,0.158,0.84,0.148,32.73997145,-99.87861576,610,3,19969
Upshur,0.829,0.149,0.837,0.152,32.73706798,-94.93999853,516,15,40506
Shackelford,0.917,0.069,0.912,0.08,32.73587756,-99.35401337,40,0,3348
Stephens,0.878,0.101,0.891,0.104,32.73553157,-98.83631615,166,4,9365
Kaufman,0.721,0.25,0.664,0.324,32.5991417,-96.28734728,3629,59,114852
Van Zandt,0.85,0.129,0.859,0.133,32.56483801,-95.83766469,719,29,53607
Harrison,0.71,0.27,0.724,0.265,32.54935988,-94.36934071,1121,39,66606
Gregg,0.694,0.281,0.678,0.307,32.47940482,-94.81591935,2612,87,123402
Hood,0.818,0.153,0.813,0.173,32.42990927,-97.83242024,1233,41,55418
Johnson,0.775,0.192,0.758,0.228,32.37877812,-97.36615819,3821,67,160173
Smith,0.705,0.266,0.689,0.295,32.37474036,-95.2717568,4633,145,222277
Ellis,0.711,0.257,0.662,0.322,32.34894117,-96.79371841,5043,83,164092
Eastland,0.866,0.112,0.872,0.119,32.32743996,-98.83243566,265,8,18278
Mitchell,0.813,0.161,0.841,0.154,32.30623474,-100.9212058,202,2,8774
Howard,0.763,0.203,0.787,0.201,32.30621324,-101.4356444,1222,21,36491
Martin,0.828,0.152,0.86,0.133,32.30600051,-101.9513518,93,7,5547
Andrews,0.797,0.17,0.843,0.145,32.30468633,-102.6376548,667,10,17577
Nolan,0.749,0.217,0.771,0.217,32.30365282,-100.4060208,441,7,14990
Taylor,0.733,0.222,0.718,0.264,32.30163422,-99.89007449,2298,69,135371
Callahan,0.874,0.102,0.88,0.108,32.29760619,-99.37326312,137,6,13660
Erath,0.811,0.156,0.812,0.173,32.23602653,-98.21773417,1065,17,41016
Somervell,0.827,0.139,0.83,0.155,32.22236802,-97.77403489,160,5,8650
Henderson,0.79,0.189,0.796,0.195,32.21128872,-95.85846587,1332,36,79687
Panola,0.811,0.176,0.814,0.18,32.1639596,-94.30552481,486,30,23574
Rusk,0.773,0.207,0.773,0.216,32.10773545,-94.76176432,1044,27,53026
Navarro,0.732,0.244,0.722,0.267,32.04620681,-96.47428766,1472,34,48239
Hill,0.781,0.196,0.8,0.191,31.99045053,-97.13423143,858,16,35098
Comanche,0.826,0.151,0.851,0.14,31.94854689,-98.55876441,375,5,13492
Bosque,0.811,0.164,0.819,0.171,31.89978581,-97.63613524,418,11,17955
Coke,0.889,0.098,0.872,0.12,31.88911733,-100.5297533,129,7,3238
Glasscock,0.919,0.056,0.936,0.06,31.86942909,-101.5207776,13,0,1420
Midland,0.757,0.205,0.774,0.209,31.86904128,-102.0315682,5540,95,159883
Ector,0.687,0.281,0.734,0.255,31.86898877,-102.5429428,6547,121,155744
Winkler,0.749,0.224,0.825,0.168,31.85008651,-103.0485163,153,5,7777
Loving,0.891,0.062,0.909,0.061,31.84947612,-103.5818571,0,0,74
Cherokee,0.772,0.208,0.774,0.216,31.837258,-95.16559897,1657,38,51594
Runnels,0.861,0.12,0.864,0.125,31.8314342,-99.97616148,303,9,10266
Sterling,0.867,0.111,0.914,0.08,31.82781912,-101.0500746,21,0,1139
Anderson,0.78,0.199,0.786,0.205,31.81534745,-95.65354823,2979,39,57747
Shelby,0.79,0.194,0.791,0.205,31.79211404,-94.14550696,554,31,25689
Brown,0.861,0.116,0.858,0.132,31.77430356,-98.99907113,701,28,37787
El Paso,0.259,0.691,0.319,0.663,31.76980765,-106.2363275,50114,642,834825
Coleman,0.874,0.106,0.882,0.109,31.76736834,-99.45240766,96,4,8422
Hamilton,0.847,0.133,0.831,0.147,31.70470573,-98.11083887,206,5,8220
Freestone,0.788,0.192,0.803,0.188,31.70422788,-96.15072516,463,4,19646
Nacogdoches,0.658,0.304,0.649,0.336,31.62017125,-94.61803994,1820,70,65411
